p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
53,78,I,0,54,77,Xe,620,0.00000241843,0.00000000217544,0.00000859549,0.00000000646538,2026-07-09
53,78,I,0,54,77,Xe,622,0.00000238238,0.00000000214348,0.00000860642,0.00000000647593,2026-07-09
53,78,I,0,54,77,Xe,624,0.00000234641,0.00000000211149,0.00000861679,0.00000000648644,2026-07-09
53,78,I,0,54,77,Xe,626,0.00000231055,0.00000000207948,0.00000862607,0.00000000649689,2026-07-09
53,78,I,0,54,77,Xe,628,0.00000227479,0.00000000204746,0.00000863877,0.00000000650735,2026-07-09
53,78,I,0,54,77,Xe,630,0.00000223914,0.00000000201541,0.00000723252,0.00000000650958,2026-07-09
53,78,I,0,54,77,Xe,632,0.00000220353,0.00000000198337,0.00000724405,0.00000000651996,2026-07-09
53,78,I,0,54,77,Xe,634,0.00000216791,0.00000000195132,0.00000725553,0.00000000653029,2026-07-09
53,78,I,0,54,77,Xe,636,0.0000021323,0.00000000191928,0.00000726696,0.00000000654058,2026-07-09
53,78,I,0,54,77,Xe,638,0.00000209669,0.00000000188723,0.00000727835,0.00000000655083,2026-07-09
