nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
I-131	beta-	48	0.048	0.00330083	3.30083	0.0000216124	0.000106063	0.000000588409	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	49	0.049	0.00329682	3.29682	0.000021602	0.000110304	0.000000612071	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	50	0.05	0.00329278	3.29278	0.0000215914	0.00011462	0.000000636157	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	51	0.051	0.00328872	3.28872	0.0000215806	0.000119008	0.000000660657	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	52	0.052	0.00328462	3.28462	0.0000215697	0.00012347	0.000000685575	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	53	0.053	0.0032805	3.2805	0.0000215586	0.000128003	0.000000710903	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	54	0.054	0.00327635	3.27635	0.0000215473	0.000132609	0.000000736643	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	55	0.055	0.00327217	3.27217	0.0000215358	0.000137285	0.000000762788	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	56	0.056	0.00326796	3.26796	0.000021524	0.000142033	0.000000789339	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	57	0.057	0.00326372	3.26372	0.0000215122	0.00014685	0.000000816291	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	58	0.058	0.00325946	3.25946	0.0000215002	0.000151737	0.000000843644	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	59	0.059	0.00325517	3.25517	0.000021488	0.000156693	0.000000871391	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	60	0.06	0.00325084	3.25084	0.0000214755	0.000161718	0.000000899536	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	61	0.061	0.00324649	3.24649	0.0000214629	0.00016681	0.000000928068	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	62	0.062	0.0032421	3.2421	0.0000214501	0.000171971	0.000000956991	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	63	0.063	0.00323769	3.23769	0.0000214371	0.000177198	0.000000986298	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	64	0.064	0.00323325	3.23325	0.0000214239	0.000182492	0.00000101599	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	65	0.065	0.00322878	3.22878	0.0000214105	0.000187851	0.00000104606	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	66	0.066	0.00322428	3.22428	0.0000213969	0.000193277	0.00000107651	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	67	0.067	0.00321975	3.21975	0.0000213831	0.000198767	0.00000110734	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	68	0.068	0.00321519	3.21519	0.0000213692	0.000204322	0.00000113854	0	Xe	IAEA LiveChart bin_beta Betashape
