nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
F-18	beta+	200	0.2	0.00261798	2.61798	0.00000266358	0.00124968	0.00000276381	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	202	0.202	0.00261851	2.61851	0.00000263044	0.00126802	0.00000279752	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	204	0.204	0.00261874	2.61874	0.00000259667	0.00128636	0.00000283096	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	206	0.206	0.00261867	2.61867	0.00000256229	0.00130469	0.00000286413	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	208	0.208	0.0026183	2.6183	0.0000025273	0.001323	0.000002897	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	210	0.21	0.00261763	2.61763	0.00000249171	0.0013413	0.00000292958	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	212	0.212	0.00261667	2.61667	0.00000245553	0.00135958	0.00000296185	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	214	0.214	0.00261542	2.61542	0.00000241877	0.00137783	0.0000029938	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	216	0.216	0.00261387	2.61387	0.00000238144	0.00139607	0.00000302543	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	218	0.218	0.00261205	2.61205	0.00000234356	0.00141427	0.00000305671	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	220	0.22	0.00260994	2.60994	0.00000230512	0.00143244	0.00000308765	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	222	0.222	0.00260755	2.60755	0.00000226614	0.00145058	0.00000311823	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	224	0.224	0.00260487	2.60487	0.00000222664	0.00146868	0.00000314845	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	226	0.226	0.00260193	2.60193	0.00000218661	0.00148674	0.00000317828	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	228	0.228	0.0025987	2.5987	0.00000214615	0.00150476	0.00000320773	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	230	0.23	0.00259521	2.59521	0.00000210529	0.00152272	0.00000323679	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	232	0.232	0.00259145	2.59145	0.00000206393	0.00154064	0.00000326544	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	234	0.234	0.00258742	2.58742	0.00000202209	0.00155851	0.00000329367	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	236	0.236	0.00258312	2.58312	0.00000197979	0.00157632	0.00000332148	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	238	0.238	0.00257856	2.57856	0.00000193702	0.00159408	0.00000334886	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	240	0.24	0.00257374	2.57374	0.0000018938	0.00161177	0.00000337579	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	242	0.242	0.00256866	2.56866	0.00000185013	0.00162939	0.00000340227	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	244	0.244	0.00256333	2.56333	0.00000180604	0.00164695	0.00000342829	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	246	0.246	0.00255774	2.55774	0.00000176152	0.00166444	0.00000345384	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	248	0.248	0.00255191	2.55191	0.00000171659	0.00168186	0.00000347891	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	250	0.25	0.00254582	2.54582	0.00000167126	0.0016992	0.00000350349	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	252	0.252	0.00253949	2.53949	0.00000162554	0.00171646	0.00000352757	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	254	0.254	0.00253291	2.53291	0.00000157943	0.00173364	0.00000355114	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	256	0.256	0.00252609	2.52609	0.00000153296	0.00175073	0.0000035742	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	258	0.258	0.00251903	2.51903	0.00000148611	0.00176774	0.00000359673	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	260	0.26	0.00251173	2.51173	0.00000143892	0.00178465	0.00000361873	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	262	0.262	0.0025042	2.5042	0.00000139139	0.00180147	0.00000364018	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	264	0.264	0.00249644	2.49644	0.00000134352	0.0018182	0.00000366108	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	266	0.266	0.00248844	2.48844	0.00000129533	0.00183483	0.00000368142	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	268	0.268	0.00248022	2.48022	0.00000124683	0.00185136	0.00000370119	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	270	0.27	0.00247177	2.47177	0.00000119803	0.00186778	0.00000372038	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	272	0.272	0.00246309	2.46309	0.00000114893	0.00188409	0.00000373898	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	274	0.274	0.0024542	2.4542	0.00000109956	0.0019003	0.00000375699	0	O	IAEA LiveChart bin_beta Betashape
